environment,framework,success_rate_pct,steps,api_calls,tokens
BoxNet1,CMAS,60.0,12.2,1.0,780.0
BoxNet1,DMAS,0.0,8.0,24.0,482.4
BoxNet1,ETP,60.0,7.0,1.0,770.0
BoxNet1,HMAS‑1,80.0,9.2,9.0,10493.0
BoxNet1,HMAS‑2,92.0,30.0,12.6,2639.0
BoxNet2,CMAS,36.0,8.0,1.0,950.8
BoxNet2,DMAS,0.0,8.0,24.0,681.8
BoxNet2,ETP,44.0,7.8,1.0,955.4
BoxNet2,HMAS‑1,56.0,8.0,9.0,3231.0
BoxNet2,HMAS‑2,16.0,8.0,25.2,4598.2
